created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-04-30T13:11:57.564Z,2026-04-30T13:11:57.876Z,and why tf not it s not like there s a war on or anything woot woot btfd lfg,theonetruedoktor.bsky.social,The Doktor,did:plc:ryh32j6o2g6tgm7oxew4chdr,0,0,0,at://did:plc:ryh32j6o2g6tgm7oxew4chdr/app.bsky.feed.post/3mkpous6r522u,bafyreiepag5y3zspyavf3lysbh3xwgn44lxksjq2d4w63qwvldma25sh6q,0.5594964623451233,"['derivatives', 'crypto']","[0.5594964623451233, 0.5369069576263428]",neutral,0.9095079302787781
2026-04-28T17:03:02.001Z,2026-04-28T17:03:03.376Z,huge btfd opportunity cant lose bro,dropdea.bsky.social,Drop D,did:plc:jaxncyfumj6wkhmuzvflipbn,0,0,0,at://did:plc:jaxncyfumj6wkhmuzvflipbn/app.bsky.feed.post/3mkl2u5gbg22z,bafyreid3zld6mjs5e4nj7k4w75h5v6zkjh3tkt6ng5ir55xhtr3p5657au,0.6314852237701416,"['equities', 'crypto']","[0.6314852237701416, 0.6024838089942932]",neutral,0.657844066619873
2026-04-28T12:15:56.043Z,2026-04-28T12:15:58.075Z,littlest rollover and not a btfd any more,frontiere.bsky.social,,did:plc:d5fq7eltii576naj42ny4d64,0,0,1,at://did:plc:d5fq7eltii576naj42ny4d64/app.bsky.feed.post/3mkkksrhqsk2d,bafyreiayje2pg5dv7yokyd75rsy3mqt5mehqbayej4yytlefg7oposd66e,0.582115888595581,"['derivatives', 'portfolio']","[0.582115888595581, 0.5543832778930664]",neutral,0.9129409193992615
2026-04-27T19:25:51.284Z,2026-04-27T19:25:51.656Z,did you just tell it to btfd,deus01.bsky.social,eggnog slut,did:plc:ntozjojtvshojywsym7wbsca,2,0,1,at://did:plc:ntozjojtvshojywsym7wbsca/app.bsky.feed.post/3mkisembct22r,bafyreifkb7oy2m3hnbwykaynluwvlkls4irexyrelrs76lzjhxjs7z4yxi,0.5519496202468872,"['crypto', 'derivatives']","[0.5519496202468872, 0.5273500680923462]",neutral,0.9324418902397156
2026-04-24T15:48:07.493Z,2026-04-24T15:48:07.955Z,pardon my french but nothing fucking matters at this point stock prices just go up get over yourself if i had to summarize the markets narratives i ve read this week that s it nothing fucking matters move over btfd it s nfm time bskysocial,jessefelder.com,Jesse Felder,did:plc:lzcoujf7r7lgjvx2yrmpvxlc,21,1,2,at://did:plc:lzcoujf7r7lgjvx2yrmpvxlc/app.bsky.feed.post/3mkausjbrh22v,bafyreihtfoavitfaazc67otjngcbwozv3whzttvus2cud4bywvqrf66rxy,0.6414414644241333,"['crypto', 'equities']","[0.6414414644241333, 0.5982002019882202]",neutral,0.771455705165863
2026-04-23T19:17:35.457Z,2026-04-23T19:17:37.556Z,supervisor mike mccready is joined by btfd fire chief leroy and trustee kolinski to discuss a possible interlocal agreement for fire service with the village of bingham farms in this clip they discuss how no extra equipment personnel or expenses would be required youtubecomshortsgagc1,bloomfieldtwpgov.bsky.social,Bloomfield Township Government,did:plc:xtvkyg7ilwizpqxjvgkv2oau,0,0,1,at://did:plc:xtvkyg7ilwizpqxjvgkv2oau/app.bsky.feed.post/3mk6q25kvqk2a,bafyreid4dinf7zdoemjg34fsgbojqkypsgjjsr2i7hmsvlhaqrpzw4amsu,0.5658150315284729,"['derivatives', 'crypto']","[0.5658150315284729, 0.5308598875999451]",neutral,0.8795598745346069
2026-04-23T18:06:22.601Z,2026-04-23T18:06:21.160Z,real company fico down 19 lgo down 61 with multiple btfd emotf bought thru a twitter reco and blogs back in the day down 86 frcb still holding to teach myself a lesson after repeatedly buying the dips they wont let it failsomeone will buy it 9999 wipeout so far recaf down 79,britexileark.bsky.social,,did:plc:fs2geioaf4rsfudxxofaluew,0,0,1,at://did:plc:fs2geioaf4rsfudxxofaluew/app.bsky.feed.post/3mk6m2snntc2r,bafyreic2tvlpdd6o4xvvzoz5arkopke5qyi6hf73lgh3o3qm5cd5nvcedq,0.6193886399269104,"['crypto', 'derivatives']","[0.6193886399269104, 0.5957822799682617]",negative,0.9148532748222351
2026-04-23T17:55:28.773Z,2026-04-23T17:55:29.156Z,now thats a btfd,bobmungovan.bsky.social,Bob Mungovan,did:plc:trdkyzclczb2km67pnycz3oe,2,0,0,at://did:plc:trdkyzclczb2km67pnycz3oe/app.bsky.feed.post/3mk6lhd4ex22s,bafyreidsrjpjxc2f3xc3n6cbqslytup4ake4lv4nzyp4f3wggjlyv3kmiu,0.5623049736022949,"['crypto', 'derivatives']","[0.5623049736022949, 0.5311373472213745]",neutral,0.8372836709022522
2026-04-23T17:15:10.742Z,2026-04-23T17:15:11.167Z,that s the first 1 drop for smh in 17 days btfd,acrossthecurve.bsky.social,Kevin,did:plc:g4glp3g4dflvac5ds5kl3jmw,0,0,0,at://did:plc:g4glp3g4dflvac5ds5kl3jmw/app.bsky.feed.post/3mk6j7b3wkc2j,bafyreidkww22jbyv3f7ntxwuekwgvxlx35ohr3rqbe3jzyw6yb7rux6mha,0.5871356129646301,"['crypto', 'portfolio']","[0.5871356129646301, 0.5701001882553101]",negative,0.9551112055778503
2026-04-23T15:43:58.780Z,2026-04-23T15:43:59.059Z,btfd baby undefeated unless the tariffs line up with oil shock in which case yes its going to be some bad earnings,isaiahbishop.bsky.social,Isaiah Bishop,did:plc:ewwwkdaurqzrask2yjpuu3kn,4,0,1,at://did:plc:ewwwkdaurqzrask2yjpuu3kn/app.bsky.feed.post/3mk6e46mvns2e,bafyreiglpfyzhk4uuchxpsiqmk5nwhjytc2m6hgzh67zwq3lyocuqbf6ca,0.6651874780654907,"['macro', 'equities']","[0.6651874780654907, 0.6313903331756592]",negative,0.46327051520347595
