created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T19:11:55.575Z,2026-05-01T19:11:57.075Z,jag f rst r dig verkligen men t nker ocks att n r du v l r p plats s kommer du k nna dig b de stolt ver dig sj lv och f njuta av att komma i v g,annadite.bsky.social,Anna,did:plc:g2kimlttgs4gfiketb36h5xp,0,0,0,at://did:plc:g2kimlttgs4gfiketb36h5xp/app.bsky.feed.post/3mksthf4hrk2j,bafyreifonnzexxtdtwc2wslzctizxvgie55vpbgufnjfsliecyd4w3d67m
2026-05-01T19:11:18.230Z,2026-05-01T19:11:19.478Z,den matematik kan jeg ikke f til at g op hvis der er et bestemt antal mandater til et omr de s m fordelingen vel v re bestemt af stemmefordelingen mellem partierne i de omr der og ikke fordelingen p landsplan,henrikmorell.dk,Henrik Morell,did:plc:7sju2uj3g3rfbdyftmhd45z2,0,0,0,at://did:plc:7sju2uj3g3rfbdyftmhd45z2/app.bsky.feed.post/3mkstgbis2c2k,bafyreicaqdizjnihtgjercq3xqdt7yuj4xbeqbskcdefhmbxzkp2tml63m
2026-05-01T19:10:49.596Z,2026-05-01T19:10:50.773Z,cant believe fa nuked my subs how else am i supposed to squeeze them now fa bad sciggle evil,veskin.bsky.social,Vesky,did:plc:xwvv6z62clovhjojbrdeeqca,0,0,0,at://did:plc:xwvv6z62clovhjojbrdeeqca/app.bsky.feed.post/3mkstfg6z4c2b,bafyreicw4zwswjjoa6ye6oiiwjowhit4chpvgwt3mpntplb4mspayyuatm
2026-05-01T19:10:44.441Z,2026-05-01T19:10:45.980Z,siiim sou muita f do meu estado,horowitzcher.bsky.social,sailor moon da maromba,did:plc:vbdjtt76cb3rqhzv4b6n6y6j,0,0,0,at://did:plc:vbdjtt76cb3rqhzv4b6n6y6j/app.bsky.feed.post/3mkstfbbqv22x,bafyreic2otjximtup44pddmkuf2w4dc6rjo2hyxc7abdgchghpp44ixygi
2026-05-01T19:09:51.129Z,2026-05-01T19:09:51.677Z,s ger annars typiskt kvinnor som s ker det de inte kan f,mandreas.bsky.social,Andreas,did:plc:wucczq36fmh2z2pedu3epkdn,0,0,1,at://did:plc:wucczq36fmh2z2pedu3epkdn/app.bsky.feed.post/3mkstdogphc2q,bafyreicylnjdbjkbrivw326fldb64cnccsqhl3kvpwwqecbift4hs54csq
2026-05-01T19:09:42.227Z,2026-05-01T19:10:08.572Z,part of a trade with a anonymous of fa my part of the trade 3 character is chase from echo project modeller duust kronosunveiled,draganonalina.bsky.social,Alexian 🔞,did:plc:ijby6pg4l5oaic6ix5cnohob,1,0,1,at://did:plc:ijby6pg4l5oaic6ix5cnohob/app.bsky.feed.post/3mkstdg6fh22b,bafyreic6pfh4qv7y7kwa33woocbjfnj7z2ap7ghhgrbys7blnfxfw6oz2u
2026-05-01T19:09:25.553Z,2026-05-01T19:09:24.679Z,chiedoma qualcuno sa di calenda mi spiego ma che che fa ne a destra n a sinistraalternativa a che cosa a malapena arriver al 3 aaaahhh ok capito sto in mezzo per rompere i coglioni bravo altro personaggio inutile insomma,robbie-it.bsky.social,,did:plc:ycgt6ngwupuenwj4jhqoigse,2,0,1,at://did:plc:ycgt6ngwupuenwj4jhqoigse/app.bsky.feed.post/3mkstcw26vc2v,bafyreidrpshikbwpxck3ktfart7clhaqyhpdpl5ci6ebln4vg6f3svvjse
2026-05-01T19:08:13.524Z,2026-05-01T19:08:55.574Z,some finished nsfw pieces over on my fa commissions furrycommission furryart furrynsfw,corimonsterarts.bsky.social,Corganda,did:plc:uug6gpswndnwverkabjy7up3,1,0,0,at://did:plc:uug6gpswndnwverkabjy7up3/app.bsky.feed.post/3mkstareolc2k,bafyreicameyxcm4j6mkhqeup55imt2lb7tnznzdtmux4j7jw5dh4dfbitm
2026-05-01T19:08:05.740Z,2026-05-01T19:08:06.272Z,mick off of pat and mick would go on to help write millwalls 2004 fa cup final song totp,willmill82.co.uk,willmill82,did:plc:5tcstejgj7ebkmn5y3vnfpyx,0,0,0,at://did:plc:5tcstejgj7ebkmn5y3vnfpyx/app.bsky.feed.post/3mkstajwhjs2k,bafyreigv6cy5s6bzrlr6jevzcdsmwnd2exwnluskn33xw6fccj7gqnudjq
2026-05-01T19:07:43.090Z,2026-05-01T19:07:43.273Z,haha och jag som tyckte att rullstol var lite st rigt att beh va t nka p att man ska kunna f in den g r in i en mg5 men m ste ta av minst ett hjul som tur r har min man mycket tr ning eftersom vi haft nnu mindre bil tidigare d r den beh vde plockas is r s mycket som m jligt,funkishen.bsky.social,FunkisHen,did:plc:ssz7qlphfvcysmswvotahody,2,0,0,at://did:plc:ssz7qlphfvcysmswvotahody/app.bsky.feed.post/3mkst7udafc22,bafyreihx5rej4kur3ojzzosq6ubsjkvjrdwezhmchnpbzp7ygoyevnqwty
